Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
1,LAC,7,57,0.07,1.24,0.86,0.22,0.421,0.32,0.579,0.37,0,0.053,0.158,0.018,0.351,0.035,0.316,2022
2,SF,7,52,0.365,0.59,0.615,0.27,0.25,0.7,0.75,0.28,0.077,0.154,0.288,0.135,0.096,0.096,0.135,2022
3,NO,7,52,0.231,1.65,0.692,0.31,0.346,0.22,0.654,0.81,0.077,0.038,0.173,0.115,0.269,0.077,0.173,2022
4,TB,7,51,0.118,0.05,0.824,0.27,0.451,0.19,0.549,0.26,0.02,0.098,0.196,0,0.353,0.216,0.059,2022
5,PIT,7,49,0.306,0.44,0.673,0.2,0.653,0.27,0.327,0.29,0,0.143,0.163,0.163,0.51,0,0,2022
6,IND,7,48,0.375,0.11,0.604,0.2,0.625,0.18,0.375,0.37,0.021,0.354,0.208,0,0.271,0.104,0.021,2022
7,DEN,7,48,0.292,0.24,0.688,0.14,0.458,0.23,0.542,0.14,0,0.292,0,0,0.167,0.354,0.167,2022
8,CIN,7,45,0.156,1.2,0.778,0.63,0.622,0.68,0.378,0.71,0,0.156,0.222,0,0.467,0.089,0,2022
9,JAX,7,44,0.455,0.32,0.432,0.27,0.591,0.3,0.409,0.26,0.045,0.273,0.045,0.136,0.227,0.114,0.045,2022
10,HOU,7,42,0.119,1.27,0.881,0.34,0.452,0.65,0.548,0.29,0,0.119,0.119,0,0.333,0.381,0.048,2022
11,MIA,7,38,0.289,0.29,0.658,0.34,0.553,0.26,0.447,0.62,0,0.289,0.342,0,0.263,0.026,0.026,2022
12,KC,7,37,0.297,0.7,0.622,0.68,0.459,0.67,0.541,0.83,0.054,0.243,0.081,0,0.216,0.27,0.054,2022
13,NYG,7,36,0.389,0.41,0.611,0.52,0.694,0.55,0.306,0.29,0.083,0.278,0.139,0.028,0.417,0.056,0,2022
14,GB,7,35,0.343,0.21,0.571,0.43,0.2,0.29,0.771,0.51,0,0.2,0.057,0.143,0,0.429,0.086,2022
15,WAS,7,35,0.486,0.48,0.486,0.44,0.429,0.74,0.571,0.23,0.229,0.229,0.057,0.029,0.2,0.143,0.086,2022
16,CLE,7,34,0.412,0.35,0.559,0.28,0.676,0.36,0.324,0.24,0.088,0.324,0.088,0,0.353,0.059,0.059,2022
17,NE,7,32,0.219,0.75,0.781,0.24,0.438,0.46,0.563,0.27,0,0.219,0.188,0,0.219,0.188,0.188,2022
18,DET,7,32,0.219,0.17,0.781,0.17,0.625,0.22,0.375,0.09,0,0.219,0.25,0,0.438,0.063,0.031,2022
19,NYJ,7,32,0.219,0.37,0.781,0.19,0.75,0.27,0.25,0.1,0,0.219,0,0,0.5,0.156,0.125,2022
20,ARI,7,32,0.344,0.17,0.531,0.41,0.469,0.25,0.531,0.56,0,0.344,0.125,0,0.125,0.281,0,2022
21,SEA,7,30,0.267,1.52,0.633,0.21,0.667,0.68,0.333,0.26,0,0.267,0.067,0,0.4,0.1,0.067,2022
22,DAL,7,28,0.214,0.4,0.714,0.29,0.607,0.32,0.393,0.64,0,0.214,0.143,0,0.393,0.036,0.143,2022
23,LV,7,28,0.036,0.56,0.964,0.48,0.5,0.43,0.5,0.55,0,0.036,0.286,0,0.464,0.143,0.071,2022
24,CHI,7,26,0.269,1.18,0.731,0.21,0.731,0.28,0.269,0.98,0.038,0.231,0.077,0,0.5,0.154,0,2022
25,CAR,7,23,0.217,0.11,0.783,0.81,0.435,0.64,0.565,0.67,0,0.174,0.261,0.043,0.261,0.043,0.217,2022
26,TEN,7,22,0.318,0.09,0.545,0.37,0.636,0.24,0.364,0.24,0,0.318,0.136,0,0.318,0,0.091,2022
27,BAL,7,21,0.19,0.05,0.762,0.38,0.524,0.31,0.476,0.31,0.143,0.048,0,0,0.429,0.333,0,2022
28,ATL,7,19,0.316,0.09,0.632,0.84,0.579,0.21,0.421,1.05,0,0.316,0.263,0,0.263,0.053,0.053,2022
1,ARI,8,52,0.212,0.97,0.731,0.4,0.327,0.7,0.654,0.41,0.019,0.192,0,0,0.135,0.173,0.423,2022
2,PIT,8,51,0.078,0.25,0.863,0.18,0.627,0.31,0.373,0.17,0,0.078,0.098,0,0.51,0.118,0.137,2022
3,TB,8,48,0.083,0.26,0.771,0.31,0.458,0.39,0.521,0.34,0.021,0.063,0.083,0,0.396,0.167,0.125,2022
4,NE,8,44,0.273,0.51,0.727,0.23,0.409,0.19,0.591,0.39,0.068,0.205,0.091,0,0.205,0.205,0.227,2022
5,BAL,8,43,0.233,0.3,0.674,0.23,0.581,0.28,0.395,0.67,0.07,0.163,0.093,0,0.419,0.116,0.047,2022
6,NYJ,8,43,0.326,0.11,0.558,0.37,0.651,0.19,0.349,0.93,0,0.279,0.186,0.047,0.326,0.023,0.023,2022
7,LV,8,43,0.163,0.23,0.791,0.12,0.395,0.11,0.605,0.15,0,0.116,0.279,0.047,0.256,0.209,0.047,2022
8,MIN,8,42,0.31,1.08,0.619,0.23,0.357,0.78,0.643,0.46,0.095,0.119,0.238,0.095,0.238,0.071,0.071,2022
9,SEA,8,41,0.561,0.18,0.39,0.68,0.415,0.61,0.585,0.37,0.293,0.268,0.024,0,0.146,0.146,0.073,2022
10,CIN,8,40,0.25,0.03,0.75,0.5,0.4,0.14,0.6,0.54,0,0.2,0.325,0.05,0.2,0.175,0.05,2022
11,MIA,8,40,0.15,0.77,0.725,0.36,0.625,0.66,0.375,0.86,0.025,0.1,0.225,0.025,0.5,0,0,2022
12,NYG,8,39,0.103,0.47,0.897,0.19,0.462,0.18,0.538,0.24,0,0.077,0,0.026,0.385,0.026,0.487,2022
13,DET,8,39,0.282,0.3,0.641,0.37,0.821,0.3,0.179,1.1,0.051,0.231,0.077,0,0.564,0,0,2022
14,CAR,8,38,0.263,0.43,0.711,0.42,0.553,0.58,0.447,0.32,0.053,0.211,0.158,0,0.342,0.211,0,2022
15,WAS,8,38,0.211,0.53,0.737,0.3,0.526,0.39,0.474,0.51,0,0.184,0.184,0.026,0.342,0.211,0,2022
16,LA,8,36,0.306,0.16,0.667,0.41,0.667,0.68,0.333,0.1,0.083,0.222,0.167,0,0.417,0.056,0.028,2022
17,HOU,8,35,0.2,0.03,0.714,0.22,0.314,-0.06,0.686,0.44,0,0.143,0.171,0.057,0.171,0.371,0,2022
18,DEN,8,35,0.2,0.37,0.686,0.32,0.629,0.61,0.343,0.09,0,0.171,0.143,0.029,0.429,0.029,0.086,2022
19,JAX,8,35,0.114,0.22,0.857,0.25,0.629,0.3,0.371,0.16,0.029,0.086,0,0,0.514,0.257,0.086,2022
20,PHI,8,34,0.559,1.02,0.441,0.61,0.735,0.82,0.265,0.89,0.029,0.529,0.176,0,0.206,0,0.059,2022
21,GB,8,33,0.242,0.86,0.758,0.37,0.303,0.68,0.697,0.41,0,0.212,0.333,0.03,0.091,0.182,0.152,2022
22,ATL,8,31,0.161,2.11,0.774,0.41,0.645,0.46,0.355,1.03,0.065,0.097,0.032,0,0.548,0.194,0,2022
23,NO,8,31,0.258,0.93,0.742,0.43,0.452,0.58,0.548,0.54,0.032,0.226,0.161,0,0.226,0.258,0.097,2022
24,CHI,8,31,0.226,0.93,0.742,0.5,0.774,0.51,0.194,0.97,0.032,0.194,0.129,0,0.581,0.032,0,2022
25,BUF,8,30,0.233,0.85,0.7,0.66,0.7,0.28,0.3,1.43,0.067,0.167,0,0,0.5,0.133,0.067,2022
26,SF,8,29,0.034,4.28,0.862,0.56,0.483,0.58,0.517,0.97,0.034,0,0.138,0,0.414,0.172,0.138,2022
27,IND,8,28,0.393,0.38,0.607,0.24,0.429,0.38,0.571,0.24,0.036,0.179,0.179,0.179,0.25,0.179,0,2022
28,DAL,8,28,0.321,0.25,0.643,0.59,0.571,0.63,0.429,0.58,0,0.321,0.179,0,0.179,0.071,0.214,2022
29,CLE,8,26,0.423,1.43,0.538,0.27,0.5,0.8,0.462,0.75,0.077,0.346,0.308,0,0.154,0.077,0,2022
30,TEN,8,15,0.2,-0.12,0.8,0.2,0.667,0.1,0.333,0.2,0,0.2,0.333,0,0.467,0,0,2022
1,KC,9,78,0.321,0.72,0.615,0.31,0.41,0.65,0.59,0.27,0.013,0.295,0.141,0.013,0.115,0.346,0.013,2022
2,TB,9,59,0.102,0.94,0.831,0.2,0.593,0.17,0.39,0.41,0.034,0.068,0.051,0,0.525,0.136,0.119,2022
3,GB,9,47,0.298,0.26,0.66,0.46,0.532,0.49,0.468,0.2,0.021,0.277,0.106,0,0.255,0.234,0.064,2022
4,LAC,9,44,0.182,0.31,0.727,0.2,0.659,0.21,0.341,0.47,0,0.182,0.182,0,0.477,0,0.068,2022
5,ARI,9,44,0.023,0,0.932,0.37,0.364,0.53,0.636,0.39,0,0.023,0.364,0,0.341,0.068,0.159,2022
6,MIN,9,43,0.279,0.34,0.605,0.18,0.395,0.13,0.605,0.59,0.07,0.14,0.163,0.07,0.256,0.093,0.093,2022
7,IND,9,42,0.333,0.27,0.643,0.11,0.667,0.16,0.333,0.17,0,0.333,0.119,0,0.31,0.143,0.071,2022
8,BUF,9,42,0.214,0.27,0.786,0.2,0.476,0.26,0.524,0.18,0,0.214,0,0,0.262,0.31,0.214,2022
9,SEA,9,38,0.158,0.09,0.737,0.36,0.553,0.3,0.447,0.82,0.053,0.079,0.132,0.026,0.474,0.079,0.053,2022
10,LV,9,38,0.158,0.21,0.842,0.53,0.5,0.7,0.5,0.27,0,0.132,0.211,0.026,0.368,0.132,0.132,2022
11,CHI,9,37,0.432,1.19,0.568,0.71,0.838,0.79,0.162,1.57,0.108,0.324,0.054,0,0.514,0,0,2022
12,NO,9,35,0.257,0.19,0.657,0.44,0.6,0.18,0.4,0.6,0,0.2,0.086,0.057,0.343,0.114,0.114,2022
13,WAS,9,34,0.265,0.53,0.706,0.4,0.441,0.38,0.559,0.48,0,0.235,0,0.029,0.206,0.118,0.382,2022
14,NE,9,34,0.118,0.24,0.765,0.18,0.5,0.17,0.471,0.44,0,0.118,0.118,0,0.382,0.147,0.118,2022
15,CIN,9,33,0.394,0.26,0.515,0.31,0.394,0.3,0.606,0.46,0.121,0.273,0.121,0,0.121,0.212,0.061,2022
16,PHI,9,33,0.333,0.6,0.636,0.53,0.636,0.41,0.364,0.78,0.03,0.303,0.273,0,0.333,0.03,0,2022
17,JAX,9,33,0.152,1.06,0.818,0.45,0.515,0.4,0.455,0.71,0.03,0.121,0.212,0,0.394,0.152,0.061,2022
18,CAR,9,31,0.161,0.17,0.742,0.35,0.387,0.27,0.613,0.52,0.032,0.129,0.387,0,0.226,0.129,0,2022
19,LA,9,31,0.194,0.06,0.806,0.41,0.935,0.36,0.065,0.12,0,0.194,0.032,0,0.742,0.032,0,2022
20,MIA,9,31,0.129,0.57,0.774,0.57,0.516,0.95,0.484,0.62,0,0.129,0.419,0,0.323,0.032,0,2022
21,NYJ,9,29,0.621,0.22,0.31,0.31,0.793,0.2,0.207,1.07,0,0.586,0,0.034,0.207,0.069,0.034,2022
22,HOU,9,28,0.107,0.43,0.75,0.41,0.464,0.42,0.536,0.57,0,0.107,0,0,0.357,0.393,0,2022
23,ATL,9,27,0.148,0.09,0.741,0.27,0.333,0.15,0.667,0.27,0.037,0.111,0.111,0,0.222,0.259,0.148,2022
24,DET,9,26,0.192,0.94,0.808,0.37,0.769,0.4,0.231,0.75,0.154,0.038,0,0,0.731,0.038,0.038,2022
25,BAL,9,25,0.4,0.19,0.52,0.54,0.52,0.24,0.48,0.51,0,0.28,0.04,0.12,0.24,0.24,0,2022
26,TEN,9,21,0.429,0.36,0.571,0.04,0.381,0.41,0.619,0.04,0.095,0.333,0.286,0,0.048,0.143,0.095,2022
1,MIN,10,56,0.25,0.65,0.661,0.23,0.286,0.46,0.714,0.26,0.054,0.125,0.268,0.071,0.143,0.196,0.054,2022
2,BUF,10,50,0.2,0.87,0.76,0.42,0.56,0.62,0.44,0.28,0,0.2,0.1,0,0.34,0.14,0.18,2022
3,DEN,10,49,0.245,0.07,0.755,0.39,0.551,0.17,0.449,0.49,0.02,0.224,0.184,0,0.327,0.245,0,2022
4,JAX,10,48,0.375,0.79,0.5,0.18,0.333,0.33,0.667,0.49,0.083,0.25,0.083,0.042,0.083,0.292,0.042,2022
5,DAL,10,48,0.188,0.24,0.688,0.32,0.625,0.33,0.375,0.6,0,0.146,0.063,0.042,0.458,0.125,0.042,2022
6,LAC,10,43,0.116,0.68,0.814,0.26,0.465,0.51,0.535,0.11,0,0.116,0.14,0,0.349,0.279,0.047,2022
7,CLE,10,42,0.524,0.34,0.452,0.25,0.619,0.23,0.381,0.63,0,0.286,0.095,0.238,0.333,0.024,0,2022
8,HOU,10,41,0.537,0.41,0.463,0.35,0.683,0.42,0.317,0.3,0.024,0.512,0.049,0,0.171,0.244,0,2022
9,ARI,10,40,0.1,0.35,0.8,0.24,0.675,0.25,0.325,0.53,0.025,0.075,0.075,0,0.55,0.1,0.075,2022
10,LV,10,40,0.2,0.28,0.7,0.39,0.3,0.26,0.7,0.53,0.025,0.175,0,0,0.125,0.375,0.2,2022
11,KC,10,40,0.175,0.67,0.775,0.61,0.25,0.92,0.75,0.77,0,0.125,0.35,0.05,0.125,0.2,0.1,2022
12,LA,10,40,0.05,2.06,0.925,0.17,0.525,0.17,0.475,0.36,0.025,0.025,0.25,0,0.5,0.15,0.025,2022
13,SEA,10,40,0.075,1.61,0.875,0.44,0.625,0.6,0.375,0.35,0,0.075,0.125,0,0.55,0.15,0.05,2022
14,PIT,10,40,0.275,0.47,0.6,0.29,0.55,0.35,0.45,0.26,0.05,0.15,0.175,0.075,0.35,0.075,0,2022
15,TEN,10,38,0.289,0.59,0.684,0.49,0.632,0.53,0.368,0.47,0.053,0.237,0.026,0,0.395,0.053,0.211,2022
16,ATL,10,37,0.162,0.87,0.811,0.44,0.568,0.42,0.405,0.63,0.027,0.135,0.054,0,0.432,0.324,0,2022
17,MIA,10,34,0.088,1.39,0.912,0.64,0.441,0.96,0.559,0.51,0.059,0.029,0.059,0,0.412,0.382,0.059,2022
18,WAS,10,33,0.364,0.04,0.545,0.36,0.485,0.28,0.455,0.17,0.03,0.303,0.061,0.03,0.182,0.242,0.061,2022
19,NO,10,31,0.29,-0.11,0.71,0.46,0.484,0.13,0.516,0.45,0,0.129,0.129,0.161,0.355,0.032,0.194,2022
20,SF,10,30,0.167,0.55,0.733,0.32,0.433,0.42,0.567,0.25,0.033,0.067,0.033,0.067,0.367,0.233,0.1,2022
21,DET,10,30,0.367,0.8,0.567,0.36,0.633,0.35,0.367,0.76,0.033,0.3,0.2,0.033,0.3,0.033,0.033,2022
22,TB,10,30,0,0,0.967,0.42,0.4,1.07,0.6,0.19,0,0,0.033,0,0.367,0.167,0.4,2022
23,IND,10,30,0.533,0.68,0.433,0.44,0.667,0.66,0.333,0.37,0,0.467,0.133,0.067,0.2,0.033,0.067,2022
24,PHI,10,28,0.321,0.66,0.607,0.25,0.393,0.06,0.607,0.79,0.107,0.214,0.214,0,0.179,0.143,0.071,2022
25,CHI,10,26,0.269,1.58,0.731,0.53,0.808,0.99,0.192,0.07,0,0.269,0.077,0,0.538,0.077,0.038,2022
26,NYG,10,23,0.391,1.37,0.609,0.41,0.739,0.9,0.261,0.46,0,0.391,0.261,0,0.348,0,0,2022
27,GB,10,23,0.696,0.89,0.304,0.92,0.87,0.77,0.13,1.78,0.043,0.652,0.087,0,0.217,0,0,2022
28,CAR,10,17,0.176,0.39,0.824,0.23,0.706,0.33,0.294,0.06,0,0.176,0.235,0,0.529,0.059,0,2022
1,ARI,11,49,0.163,0.26,0.796,0.18,0.429,0.14,0.571,0.24,0,0.163,0.245,0,0.265,0.163,0.122,2022
2,NYG,11,48,0.396,0.29,0.563,0.24,0.708,0.39,0.292,0.22,0,0.354,0.167,0.042,0.333,0,0.063,2022
3,CLE,11,45,0.2,0.88,0.733,0.35,0.467,0.54,0.533,0.69,0.022,0.156,0.244,0.022,0.311,0.111,0.067,2022
4,PIT,11,44,0.227,0.63,0.75,0.24,0.364,0.54,0.636,0.21,0.023,0.159,0.386,0.045,0.205,0.068,0.091,2022
5,CIN,11,42,0.619,0.56,0.357,0.63,0.524,0.43,0.476,0.95,0.024,0.476,0.214,0.119,0.048,0.024,0.071,2022
6,HOU,11,40,0.175,0.27,0.725,0.11,0.35,0.02,0.65,0.44,0.025,0.1,0.125,0.05,0.25,0.325,0.025,2022
7,GB,11,40,0.275,0.23,0.675,0.38,0.475,0.29,0.525,0.55,0,0.275,0.25,0,0.175,0.225,0.025,2022
8,CAR,11,39,0.077,0,0.923,0.2,0.744,0.14,0.256,0.29,0,0.077,0.026,0,0.692,0.154,0.051,2022
9,LV,11,38,0.211,0.55,0.684,0.41,0.632,0.46,0.342,0.31,0,0.184,0.026,0.026,0.447,0.105,0.105,2022
10,KC,11,38,0.526,0.76,0.447,0.48,0.658,0.65,0.342,0.87,0,0.421,0.026,0.105,0.237,0.053,0.132,2022
11,LAC,11,37,0.27,0.11,0.622,0.61,0.324,0.29,0.676,0.64,0.054,0.162,0.243,0.054,0.135,0.189,0.054,2022
12,BAL,11,37,0.027,0.08,0.973,0.2,0.622,0.11,0.378,0.33,0,0.027,0.054,0,0.595,0.297,0.027,2022
13,MIN,11,37,0.189,0.13,0.757,0.16,0.324,0.2,0.676,0.12,0.027,0.135,0.432,0.027,0.189,0.108,0.027,2022
14,LA,11,36,0.306,0.17,0.667,0.7,0.472,0.4,0.5,0.65,0,0.25,0.194,0.056,0.25,0.222,0,2022
15,IND,11,36,0.333,0.29,0.583,0.24,0.5,0.28,0.5,0.2,0,0.306,0.083,0.028,0.194,0.25,0.056,2022
16,DEN,11,35,0.4,0.32,0.571,0.31,0.771,0.29,0.229,0.35,0,0.343,0.114,0.057,0.4,0.029,0.029,2022
17,NE,11,33,0.152,0.51,0.848,0.26,0.455,0.29,0.545,0.3,0,0.152,0.03,0,0.303,0.212,0.303,2022
18,NO,11,32,0.188,1.34,0.719,0.27,0.688,0.79,0.313,0.56,0.031,0.156,0.063,0,0.469,0.063,0.125,2022
19,DAL,11,32,0,0,0.875,0.73,0.313,0.34,0.688,0.79,0,0,0,0,0.313,0.063,0.5,2022
20,TEN,11,32,0.156,0.89,0.781,0.63,0.719,0.72,0.281,0.87,0.031,0.125,0.031,0,0.594,0.094,0.063,2022
21,CHI,11,31,0.097,1.68,0.903,0.28,0.677,0.42,0.323,0.4,0,0.097,0.065,0,0.581,0.258,0,2022
22,BUF,11,30,0.367,0.24,0.567,0.33,0.6,0.27,0.4,0.63,0,0.367,0.033,0,0.233,0.2,0.1,2022
23,PHI,11,30,0.7,0.48,0.267,0.36,0.733,0.45,0.267,0.44,0,0.7,0.033,0,0.033,0.2,0,2022
24,SF,11,29,0.241,1.53,0.724,0.66,0.655,0.98,0.345,0.64,0.034,0.207,0.103,0,0.448,0.172,0,2022
25,NYJ,11,29,0.345,0.25,0.655,0.17,0.759,0.22,0.241,0.11,0,0.345,0.103,0,0.448,0.103,0,2022
26,WAS,11,28,0.143,0.19,0.714,0.36,0.5,0.35,0.5,0.23,0,0.143,0.357,0,0.357,0,0,2022
27,DET,11,26,0.538,0.1,0.462,0.44,0.654,0.26,0.346,0.24,0.192,0.346,0,0,0.308,0.115,0.038,2022
28,ATL,11,24,0.042,0,0.833,0.29,0.792,0.47,0.125,0.36,0,0.042,0.125,0,0.708,0,0,2022
1,LAC,12,53,0.094,0.92,0.83,0.4,0.396,0.17,0.604,0.73,0.038,0.057,0.226,0,0.34,0.208,0.057,2022
2,BUF,12,50,0.34,0.54,0.62,0.25,0.58,0.36,0.42,0.54,0,0.32,0.22,0.02,0.24,0.08,0.08,2022
3,MIA,12,48,0.167,0.06,0.688,0.36,0.333,0.28,0.646,0.4,0.021,0.146,0.333,0,0.167,0.083,0.104,2022
4,HOU,12,46,0.239,0.55,0.761,0.16,0.717,0.26,0.283,0.22,0.043,0.196,0.239,0,0.522,0,0,2022
5,TB,12,46,0.174,0.62,0.739,0.24,0.478,0.58,0.522,0.21,0,0.152,0.043,0.022,0.304,0.217,0.174,2022
6,KC,12,46,0.152,1.01,0.783,0.34,0.696,0.25,0.304,0.82,0,0.13,0,0.022,0.522,0.152,0.109,2022
7,CLE,12,43,0.116,0.56,0.791,0.2,0.372,0.24,0.628,0.38,0,0.116,0.093,0,0.256,0.349,0.093,2022
8,CIN,12,42,0.214,0.34,0.786,0.47,0.5,0.39,0.5,0.48,0,0.214,0.167,0,0.286,0.262,0.071,2022
9,SEA,12,42,0.143,0.33,0.738,0.65,0.524,0.79,0.476,0.25,0,0.143,0.19,0,0.381,0.095,0.071,2022
10,JAX,12,42,0.167,0.94,0.786,0.39,0.357,0.24,0.643,0.75,0.048,0.119,0.143,0,0.238,0.238,0.167,2022
11,NE,12,42,0.095,0.28,0.81,0.62,0.405,0.28,0.571,0.77,0,0.095,0.167,0,0.286,0.071,0.286,2022
12,DEN,12,40,0.175,0.59,0.775,0.16,0.325,0.15,0.675,0.28,0.05,0.075,0.05,0.05,0.25,0.35,0.125,2022
13,IND,12,39,0.333,0.44,0.59,0.3,0.59,0.37,0.41,0.28,0,0.231,0.103,0.103,0.359,0.026,0.103,2022
14,DET,12,39,0.487,0.61,0.513,0.3,0.59,0.47,0.41,0.42,0.077,0.41,0.026,0,0.179,0.256,0.051,2022
15,NYG,12,39,0.179,0.91,0.744,0.26,0.564,0.33,0.359,0.48,0.026,0.128,0.231,0.026,0.436,0.077,0,2022
16,MIN,12,39,0.333,0.54,0.564,0.35,0.692,0.6,0.308,0.61,0.026,0.256,0.103,0.051,0.41,0.051,0,2022
17,LV,12,39,0.231,0.29,0.692,0.57,0.308,1.03,0.692,0.39,0,0.179,0.103,0.051,0.154,0.103,0.333,2022
18,SF,12,38,0.395,0.23,0.474,0.29,0.553,0.46,0.447,0.18,0.026,0.368,0.211,0,0.105,0.132,0.026,2022
19,BAL,12,37,0.189,1.22,0.703,0.37,0.703,0.52,0.297,0.43,0,0.189,0.135,0,0.432,0.108,0.027,2022
20,TEN,12,37,0.216,0.11,0.757,0.42,0.486,0.5,0.514,0.19,0.081,0.108,0.27,0.027,0.378,0.054,0.054,2022
21,PHI,12,35,0.343,0.69,0.629,0.47,0.886,0.59,0.114,1.11,0.057,0.286,0,0,0.6,0,0.029,2022
22,NO,12,35,0.343,0.29,0.543,0.35,0.543,0.3,0.457,0.29,0.029,0.286,0.143,0.029,0.257,0.143,0,2022
23,PIT,12,34,0.412,0.27,0.559,0.28,0.588,0.25,0.412,0.29,0.029,0.353,0.118,0.029,0.235,0.088,0.118,2022
24,ARI,12,33,0.485,0.17,0.394,0.73,0.455,0.21,0.545,1.09,0.061,0.364,0.091,0.061,0.03,0.152,0.121,2022
25,DAL,12,31,0.484,0.65,0.419,0.57,0.516,0.38,0.484,0.73,0.161,0.323,0,0,0.194,0.226,0,2022
26,NYJ,12,30,0.2,1.59,0.7,0.51,0.667,0.79,0.3,0.99,0.033,0.133,0.167,0.033,0.5,0.033,0,2022
27,LA,12,30,0.333,0.4,0.633,0.25,0.433,0.09,0.533,0.47,0.1,0.233,0.033,0,0.2,0.2,0.2,2022
28,GB,12,28,0.143,2.79,0.857,0.37,0.643,0.98,0.357,0.25,0,0.143,0.107,0,0.5,0.179,0.071,2022
29,CHI,12,28,0.214,0.84,0.75,0.32,0.607,0.31,0.393,0.49,0.036,0.179,0.036,0,0.429,0.036,0.25,2022
30,ATL,12,26,0.038,0,0.885,0.3,0.385,0.26,0.615,0.46,0,0.038,0.192,0,0.346,0.308,0.038,2022
31,WAS,12,23,0.043,0.68,0.957,0.54,0.739,0.42,0.261,0.9,0,0.043,0.174,0,0.696,0.087,0,2022
32,CAR,12,20,0.1,0.46,0.85,0.33,0.85,0.24,0.15,2.24,0,0.1,0,0,0.75,0,0.1,2022
1,NYJ,13,60,0.25,0.12,0.667,0.27,0.383,0.23,0.617,0.22,0.017,0.217,0.067,0.017,0.167,0.183,0.25,2022
2,TB,13,55,0.327,0.39,0.618,0.2,0.364,0.12,0.636,0.45,0.018,0.255,0.291,0.055,0.109,0.182,0.036,2022
3,LAC,13,54,0.574,0.36,0.389,0.29,0.593,0.23,0.407,0.48,0.074,0.444,0.074,0.056,0.167,0.111,0.037,2022
4,BAL,13,47,0.106,0.24,0.851,0.21,0.511,0.2,0.468,0.23,0.021,0.085,0,0,0.426,0.362,0.064,2022
5,WAS,13,47,0.383,0.63,0.574,0.27,0.617,0.36,0.383,0.46,0,0.277,0,0.106,0.34,0.191,0.043,2022
6,SF,13,45,0.356,0.44,0.578,0.25,0.689,0.25,0.311,0.71,0.156,0.2,0.111,0,0.467,0,0,2022
7,SEA,13,44,0.023,0,0.932,0.51,0.705,0.69,0.295,0.29,0,0.023,0.023,0,0.636,0.068,0.205,2022
8,DET,13,43,0.256,0.93,0.744,0.35,0.674,0.6,0.326,0.29,0.023,0.233,0.116,0,0.442,0.116,0.07,2022
9,PHI,13,43,0.186,0.91,0.791,0.56,0.302,0.32,0.698,0.78,0.023,0.163,0.256,0,0.14,0.372,0.023,2022
10,IND,13,40,0.125,0.19,0.85,0.36,0.4,0.48,0.6,0.24,0,0.1,0.3,0.025,0.3,0.225,0.025,2022
11,NYG,13,40,0.075,0.75,0.85,0.31,0.325,0.6,0.625,0.36,0.025,0.05,0.25,0,0.275,0.325,0,2022
12,HOU,13,39,0.205,0.73,0.744,0.15,0.513,0.1,0.487,0.42,0.051,0.128,0.026,0.026,0.385,0.154,0.179,2022
13,MIN,13,39,0.359,0.15,0.641,0.43,0.436,0.47,0.564,0.22,0,0.359,0,0,0.103,0.385,0.154,2022
14,JAX,13,39,0.308,0.21,0.641,0.28,0.641,0.26,0.359,0.51,0,0.308,0.026,0,0.333,0.077,0.205,2022
15,NE,13,38,0.053,0.22,0.895,0.35,0.421,0.48,0.579,0.21,0,0.026,0.105,0.026,0.395,0.289,0.105,2022
16,BUF,13,37,0.432,0.56,0.541,0.2,0.622,0.39,0.378,0.59,0.054,0.378,0.189,0,0.27,0.027,0.054,2022
17,MIA,13,37,0.054,0.36,0.946,0.43,0.324,0.59,0.676,0.35,0,0.054,0.135,0,0.27,0.405,0.135,2022
18,CIN,13,36,0.167,1.07,0.611,0.39,0.278,0.76,0.722,0.54,0.028,0.139,0.167,0,0.139,0.222,0.083,2022
19,TEN,13,35,0.057,2.68,0.943,0.25,0.4,0.49,0.6,0.33,0,0.057,0,0,0.343,0.486,0.114,2022
20,LA,13,35,0.114,0.29,0.829,0.24,0.657,0.26,0.343,0.1,0,0.114,0,0,0.514,0.029,0.286,2022
21,GB,13,32,0.156,0.15,0.781,0.42,0.406,0.25,0.594,0.45,0.031,0.125,0.313,0,0.25,0.156,0.063,2022
22,NO,13,32,0.313,0.3,0.594,0.53,0.594,0.6,0.406,0.21,0,0.313,0.125,0,0.25,0.063,0.156,2022
23,PIT,13,31,0.29,0.12,0.71,0.58,0.645,0.28,0.355,0.75,0.065,0.194,0.161,0.032,0.452,0.065,0.032,2022
24,DAL,13,31,0.161,1.99,0.806,0.13,0.742,0.52,0.258,0.74,0,0.161,0.032,0,0.581,0.194,0,2022
25,KC,13,31,0.258,1.06,0.581,0.28,0.452,1.12,0.548,0.24,0.065,0.194,0.161,0,0.194,0.194,0.032,2022
26,LV,13,30,0.6,0.29,0.367,1.08,0.567,0.2,0.433,1.05,0.067,0.433,0.067,0.1,0.167,0.033,0.1,2022
27,CHI,13,28,0,0,1,0.32,0.571,0.23,0.429,0.45,0,0,0.107,0,0.571,0.179,0.143,2022
