Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
12,LV,2,41,0.22,0.7,0.707,0.28,0.366,0.51,0.634,0.44,0.024,0.171,0.146,0.024,0.244,0.073,0.244,2022
13,NE,2,38,0.526,0.51,0.474,0.22,0.632,0.48,0.368,0.19,0.026,0.474,0.263,0.026,0.158,0,0.053,2022
14,PHI,2,38,0.079,0.13,0.921,0.51,0.184,0.08,0.816,0.57,0,0.079,0.053,0,0.105,0.421,0.342,2022
15,DET,2,37,0.216,0.87,0.703,0.41,0.622,0.73,0.378,0.68,0.081,0.135,0,0,0.486,0.162,0.054,2022
16,LA,2,37,0.216,0.67,0.622,0.3,0.568,0.37,0.432,0.82,0.081,0.135,0.054,0,0.432,0.135,0,2022
17,PIT,2,37,0.432,0.12,0.514,0.22,0.703,0.19,0.297,0.5,0.027,0.405,0.108,0,0.297,0.108,0,2022
18,CAR,2,36,0.444,0.57,0.556,0.18,0.583,0.46,0.417,0.2,0.083,0.361,0.056,0,0.222,0.139,0.139,2022
19,KC,2,36,0.528,0.68,0.472,0.27,0.722,0.65,0.278,0.06,0.083,0.444,0,0,0.278,0.056,0.139,2022
20,TB,2,35,0.314,0.69,0.657,0.17,0.429,0.56,0.571,0.16,0.029,0.171,0.086,0.114,0.257,0.257,0.057,2022
21,DEN,2,35,0.371,0.62,0.629,0.18,0.743,0.4,0.257,0.2,0,0.371,0.2,0,0.371,0.029,0.029,2022
22,IND,2,35,0.229,0.08,0.629,0.19,0.371,0.24,0.629,0.07,0,0.143,0.114,0.086,0.229,0.086,0.2,2022
23,DAL,2,33,0.333,0.76,0.636,0.25,0.667,0.35,0.303,0.6,0.03,0.303,0.061,0,0.364,0.091,0.121,2022
24,SEA,2,33,0.061,0,0.879,0.21,0.394,0.36,0.606,0.06,0,0.061,0.121,0,0.303,0.424,0.03,2022
25,ATL,2,32,0.125,1.52,0.719,0.2,0.594,0.25,0.406,0.75,0.031,0.094,0.063,0,0.5,0.094,0.063,2022
26,CLE,2,32,0.25,0.08,0.75,0.66,0.594,0.62,0.406,0.35,0.031,0.188,0.031,0.031,0.406,0.25,0.063,2022
27,BAL,2,31,0.484,1.12,0.419,0.48,0.548,0.85,0.452,0.94,0.161,0.323,0.032,0,0.194,0.194,0,2022
28,JAX,2,30,0.167,0.3,0.733,0.33,0.7,0.37,0.267,1.21,0,0.167,0,0,0.533,0.167,0.033,2022
29,GB,2,29,0.379,1.21,0.621,0.27,0.621,0.8,0.379,0.34,0,0.345,0.207,0.034,0.276,0.069,0.069,2022
