Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
1,NE,1,58,0.259,0.46,0.741,0.42,0.707,0.53,0.293,0.21,0,0.259,0.034,0,0.448,0.034,0.224,2023
2,HOU,1,53,0.283,0.16,0.66,0.23,0.396,0.15,0.585,0.24,0.075,0.208,0.057,0,0.151,0.208,0.245,2023
3,PIT,1,52,0.096,0.13,0.788,0.16,0.365,0.19,0.615,0.25,0,0.096,0.115,0,0.269,0.346,0.058,2023
4,BUF,1,50,0.24,0.11,0.7,0.23,0.4,0.18,0.58,0.35,0,0.24,0,0,0.16,0.38,0.16,2023
5,CHI,1,48,0,0,0.958,0.36,0.729,0.41,0.271,0.17,0,0,0.042,0,0.729,0.083,0.104,2023
6,IND,1,47,0.234,0.16,0.766,0.33,0.574,0.23,0.426,0.37,0.043,0.191,0.149,0,0.383,0.234,0,2023
7,MIN,1,47,0.085,0.83,0.872,0.4,0.511,0.39,0.489,0.47,0.021,0.043,0.149,0.021,0.468,0.255,0,2023
8,MIA,1,46,0.326,0.99,0.587,0.4,0.478,0.48,0.522,0.82,0.087,0.13,0.022,0.109,0.283,0.109,0.174,2023
9,KC,1,45,0.2,0.24,0.733,0.31,0.378,0.2,0.622,0.62,0,0.2,0.222,0,0.133,0.378,0,2023
10,NYG,1,44,0.432,0.23,0.568,0.1,0.75,0.22,0.25,-0.02,0,0.432,0.227,0,0.318,0.023,0,2023
11,CAR,1,42,0.214,0.65,0.786,0.12,0.357,0.49,0.643,0.09,0,0.19,0.048,0.024,0.167,0.262,0.31,2023
12,LAC,1,40,0.25,0.46,0.725,0.34,0.5,0.19,0.5,0.55,0.05,0.2,0,0,0.3,0.1,0.325,2023
13,TEN,1,40,0.375,0.05,0.575,0.19,0.575,0.13,0.4,0.14,0.025,0.325,0.15,0.025,0.25,0.1,0.075,2023
14,WAS,1,39,0.179,0.31,0.718,0.15,0.256,0.31,0.744,0.48,0.051,0.128,0.051,0,0.128,0.436,0.103,2023
15,LA,1,39,0.128,0.58,0.846,0.34,0.513,0.39,0.487,0.34,0,0.103,0.077,0.026,0.41,0.231,0.128,2023
16,NO,1,38,0.158,0.23,0.789,0.48,0.395,0.74,0.605,0.21,0.026,0.079,0.105,0.053,0.316,0.289,0.079,2023
17,TB,1,38,0.105,0.25,0.868,0.32,0.5,0.21,0.5,0.62,0.079,0.026,0.316,0,0.474,0.053,0.026,2023
18,PHI,1,38,0.447,0.44,0.553,0.2,0.711,0.2,0.289,0.59,0.132,0.316,0.079,0,0.395,0.026,0.053,2023
19,DEN,1,37,0.081,0.31,0.784,0.2,0.459,0.23,0.514,0.59,0,0.081,0.054,0,0.378,0.324,0.027,2023
20,DET,1,36,0.306,0.34,0.611,0.27,0.361,0.44,0.611,0.38,0.056,0.25,0.278,0,0.222,0.083,0.028,2023
21,CLE,1,35,0.286,0.28,0.686,0.17,0.771,0.24,0.229,0.57,0.057,0.229,0.057,0,0.543,0.029,0.057,2023
22,JAX,1,35,0.171,0.39,0.829,0.53,0.829,0.56,0.171,0.25,0,0.171,0.086,0,0.657,0.086,0,2023
23,CIN,1,34,0.324,0.04,0.676,0.13,0.735,0.06,0.265,0.21,0,0.324,0.235,0,0.412,0,0.029,2023
24,SF,1,34,0.294,0.74,0.618,0.3,0.471,0.55,0.529,0.51,0,0.235,0.206,0.059,0.265,0.029,0.118,2023
25,ARI,1,33,0.394,0.03,0.576,0.2,0.424,0.07,0.576,0.18,0.061,0.242,0.03,0.091,0.182,0.242,0.121,2023
26,BAL,1,31,0.194,0.5,0.742,0.23,0.484,0.27,0.516,0.27,0.097,0.097,0.097,0,0.387,0.097,0.161,2023
27,GB,1,30,0.2,1.71,0.733,0.38,0.5,0.93,0.5,0.6,0,0.2,0.2,0,0.3,0.067,0.167,2023
28,SEA,1,29,0.138,1.1,0.828,0.21,0.414,0.48,0.586,0.2,0,0.138,0,0,0.276,0.276,0.276,2023
29,LV,1,29,0.31,0.79,0.552,0.4,0.655,0.61,0.345,0.5,0,0.31,0,0,0.345,0.138,0.069,2023
30,NYJ,1,26,0.077,0.2,0.846,0.21,0.385,0.07,0.615,0.53,0,0.077,0.154,0,0.308,0.115,0.269,2023
31,DAL,1,25,0.44,0.37,0.48,0.12,0.52,0.29,0.48,0.16,0.12,0.28,0.04,0.04,0.24,0.08,0.12,2023
32,ATL,1,22,0.136,0.37,0.864,0.39,0.864,0.21,0.136,1.56,0,0.136,0.045,0,0.727,0,0.091,2023
1,NYG,4,51,0.039,0.24,0.961,0.21,0.451,0.25,0.549,0.18,0,0.039,0.02,0,0.431,0.118,0.392,2023
2,WAS,4,51,0.431,0.34,0.49,0.26,0.667,0.33,0.314,0.46,0.039,0.392,0,0,0.275,0.098,0.118,2023
3,ARI,4,47,0.149,0.44,0.809,0.39,0.362,0.42,0.638,0.49,0,0.149,0.17,0,0.213,0.426,0,2023
4,LV,4,46,0.065,-0.31,0.87,0.18,0.239,0.22,0.761,0.12,0.043,0,0.261,0.022,0.239,0.152,0.217,2023
5,PHI,4,44,0.273,0.16,0.727,0.68,0.477,0.63,0.523,0.46,0.068,0.205,0.136,0,0.273,0.318,0,2023
6,LA,4,44,0.136,0.93,0.818,0.31,0.614,0.39,0.386,0.39,0.023,0.114,0.136,0,0.477,0.159,0.045,2023
7,CLE,4,43,0.209,-0.12,0.791,0.16,0.488,0.09,0.512,0.11,0.047,0.163,0.023,0,0.326,0.302,0.14,2023
8,NO,4,43,0.14,0.18,0.86,0.08,0.419,0.11,0.581,0.08,0.023,0.023,0.163,0.093,0.395,0.209,0.093,2023
9,NYJ,4,42,0.286,0.49,0.643,0.27,0.286,0.34,0.714,0.5,0.024,0.143,0.19,0.119,0.143,0.214,0.095,2023
10,GB,4,41,0.098,1.01,0.878,0.22,0.585,0.18,0.415,0.45,0.024,0.073,0.098,0,0.512,0.268,0,2023
11,MIA,4,41,0.195,0.21,0.756,0.28,0.293,0.2,0.707,0.43,0,0.122,0.244,0.073,0.171,0.244,0.098,2023
12,CHI,4,41,0.22,0.81,0.732,0.61,0.561,0.67,0.439,0.79,0.024,0.195,0.098,0,0.366,0.073,0.195,2023
13,CAR,4,39,0.282,0.18,0.692,0.23,0.41,0.25,0.59,0.18,0.154,0.128,0.359,0,0.308,0.026,0,2023
14,DAL,4,39,0.41,0.57,0.564,0.27,0.615,0.5,0.385,0.22,0.154,0.231,0.179,0.026,0.385,0,0,2023
15,TB,4,39,0.282,1.02,0.667,0.34,0.487,0.64,0.513,0.6,0,0.154,0.154,0.128,0.333,0.154,0.026,2023
16,ATL,4,36,0.222,0.67,0.778,0.14,0.806,0.26,0.194,0.24,0.028,0.194,0.028,0,0.611,0.139,0,2023
17,JAX,4,36,0.361,0.42,0.556,0.52,0.5,0.21,0.472,0.72,0,0.278,0.111,0.083,0.25,0.083,0.111,2023
18,CIN,4,35,0.286,0.15,0.686,0.18,0.486,0.13,0.514,0.2,0.057,0.229,0.171,0,0.257,0.2,0.057,2023
19,KC,4,35,0.343,0.68,0.629,0.28,0.543,0.43,0.457,0.44,0,0.343,0,0,0.2,0.4,0.029,2023
